date,bitcoin,isPartial
2017-01-01,49,False
2017-01-02,81,False
2017-01-03,75,False
2017-01-04,84,False
2017-01-05,100,False
2017-01-06,91,False
2017-01-07,75,False
2017-01-08,72,False
2017-01-09,67,False
2017-01-10,63,False
2017-01-11,70,False
2017-01-12,73,False
2017-01-13,58,False
2017-01-14,56,False
2017-01-15,53,False
2017-01-16,50,False
2017-01-17,54,False
2017-01-18,53,False
2017-01-19,51,False
2017-01-20,48,False
2017-01-21,47,False
2017-01-22,45,False
2017-01-23,48,False
2017-01-24,50,False
2017-01-25,46,False
2017-01-26,44,False
2017-01-27,45,False
2017-01-28,43,False
2017-01-29,43,False
2017-01-30,46,False
2017-01-31,48,False
2017-02-01,51,False
2017-02-02,53,False
2017-02-03,54,False
2017-02-04,50,False
2017-02-05,49,False
2017-02-06,51,False
2017-02-07,50,False
2017-02-08,54,False
2017-02-09,55,False
2017-02-10,53,False
2017-02-11,50,False
2017-02-12,46,False
2017-02-13,46,False
2017-02-14,47,False
2017-02-15,47,False
2017-02-16,50,False
2017-02-17,49,False
2017-02-18,48,False
2017-02-19,42,False
2017-02-20,48,False
2017-02-21,57,False
2017-02-22,55,False
2017-02-23,63,False
2017-02-24,73,False
2017-02-25,59,False
2017-02-26,54,False
2017-02-27,54,False
2017-02-28,58,False
2017-03-01,59,False
2017-03-02,72,False
2017-03-03,91,False
2017-03-04,79,False
2017-03-05,65,False
2017-03-06,67,False
2017-03-07,75,False
2017-03-08,76,False
2017-03-09,70,False
2017-03-10,94,False
2017-03-11,83,False
2017-03-12,65,False
2017-03-13,65,False
2017-03-14,63,False
2017-03-15,62,False
2017-03-16,61,False
2017-03-17,65,False
2017-03-18,77,False
2017-03-19,70,False
2017-03-20,63,False
2017-03-21,63,False
2017-03-22,64,False
2017-03-23,61,False
2017-03-24,64,False
2017-03-25,66,False
2017-03-26,61,False
2017-03-27,59,False
2017-03-28,57,False
2017-03-29,58,False
2017-03-30,53,False
2017-03-31,53,False
2017-04-01,54,False
2017-04-02,15,False
2017-04-03,16,False
2017-04-04,16,False
2017-04-05,15,False
2017-04-06,16,False
2017-04-07,16,False
2017-04-08,16,False
2017-04-09,15,False
2017-04-10,15,False
2017-04-11,17,False
2017-04-12,15,False
2017-04-13,16,False
2017-04-14,15,False
2017-04-15,14,False
2017-04-16,14,False
2017-04-17,15,False
2017-04-18,17,False
2017-04-19,15,False
2017-04-20,15,False
2017-04-21,16,False
2017-04-22,15,False
2017-04-23,14,False
2017-04-24,15,False
2017-04-25,17,False
2017-04-26,18,False
2017-04-27,18,False
2017-04-28,18,False
2017-04-29,17,False
2017-04-30,17,False
2017-05-01,20,False
2017-05-02,23,False
2017-05-03,23,False
2017-05-04,28,False
2017-05-05,26,False
2017-05-06,23,False
2017-05-07,22,False
2017-05-08,24,False
2017-05-09,30,False
2017-05-10,28,False
2017-05-11,31,False
2017-05-12,36,False
2017-05-13,38,False
2017-05-14,33,False
2017-05-15,46,False
2017-05-16,40,False
2017-05-17,32,False
2017-05-18,30,False
2017-05-19,33,False
2017-05-20,33,False
2017-05-21,34,False
2017-05-22,62,False
2017-05-23,67,False
2017-05-24,73,False
2017-05-25,100,False
2017-05-26,79,False
2017-05-27,62,False
2017-05-28,42,False
2017-05-29,41,False
2017-05-30,42,False
2017-05-31,41,False
2017-06-01,39,False
2017-06-02,34,False
2017-06-03,33,False
2017-06-04,31,False
2017-06-05,35,False
2017-06-06,54,False
2017-06-07,46,False
2017-06-08,38,False
2017-06-09,37,False
2017-06-10,34,False
2017-06-11,37,False
2017-06-12,52,False
2017-06-13,45,False
2017-06-14,41,False
2017-06-15,56,False
2017-06-16,39,False
2017-06-17,33,False
2017-06-18,32,False
2017-06-19,32,False
2017-06-20,34,False
2017-06-21,36,False
2017-06-22,35,False
2017-06-23,33,False
2017-06-24,33,False
2017-06-25,31,False
2017-06-26,37,False
2017-06-27,44,False
2017-06-28,41,False
2017-06-29,33,False
2017-06-30,30,False
2017-07-01,29,False
2017-07-02,26,False
2017-07-03,26,False
2017-07-04,28,False
2017-07-05,27,False
2017-07-06,26,False
2017-07-07,26,False
2017-07-08,26,False
2017-07-09,25,False
2017-07-10,28,False
2017-07-11,31,False
2017-07-12,30,False
2017-07-13,28,False
2017-07-14,29,False
2017-07-15,32,False
2017-07-16,35,False
2017-07-17,34,False
2017-07-18,34,False
2017-07-19,30,False
2017-07-20,34,False
2017-07-21,33,False
2017-07-22,29,False
2017-07-23,30,False
2017-07-24,29,False
2017-07-25,32,False
2017-07-26,30,False
2017-07-27,29,False
2017-07-28,32,False
2017-07-29,28,False
2017-07-30,28,False
2017-07-31,35,False
2017-08-01,74,False
2017-08-02,63,False
2017-08-03,39,False
2017-08-04,34,False
2017-08-05,46,False
2017-08-06,36,False
2017-08-07,47,False
2017-08-08,51,False
2017-08-09,43,False
2017-08-10,37,False
2017-08-11,41,False
2017-08-12,48,False
2017-08-13,63,False
2017-08-14,76,False
2017-08-15,75,False
2017-08-16,62,False
2017-08-17,62,False
2017-08-18,59,False
2017-08-19,54,False
2017-08-20,51,False
2017-08-21,52,False
2017-08-22,57,False
2017-08-23,53,False
2017-08-24,50,False
2017-08-25,51,False
2017-08-26,40,False
2017-08-27,37,False
2017-08-28,43,False
2017-08-29,54,False
2017-08-30,55,False
2017-08-31,62,False
2017-09-01,65,False
2017-09-02,61,False
2017-09-03,55,False
2017-09-04,68,False
2017-09-05,68,False
2017-09-06,58,False
2017-09-07,52,False
2017-09-08,57,False
2017-09-09,44,False
2017-09-10,43,False
2017-09-11,53,False
2017-09-12,55,False
2017-09-13,73,False
2017-09-14,93,False
2017-09-15,100,False
2017-09-16,64,False
2017-09-17,49,False
2017-09-18,61,False
2017-09-19,59,False
2017-09-20,49,False
2017-09-21,48,False
2017-09-22,46,False
2017-09-23,33,False
2017-09-24,31,False
2017-09-25,37,False
2017-09-26,38,False
2017-09-27,40,False
2017-09-28,40,False
2017-09-29,37,False
2017-09-30,34,False
2017-10-01,6,False
2017-10-02,7,False
2017-10-03,7,False
2017-10-04,7,False
2017-10-05,6,False
2017-10-06,6,False
2017-10-07,6,False
2017-10-08,6,False
2017-10-09,8,False
2017-10-10,9,False
2017-10-11,8,False
2017-10-12,15,False
2017-10-13,18,False
2017-10-14,12,False
2017-10-15,11,False
2017-10-16,12,False
2017-10-17,11,False
2017-10-18,11,False
2017-10-19,11,False
2017-10-20,13,False
2017-10-21,15,False
2017-10-22,11,False
2017-10-23,14,False
2017-10-24,15,False
2017-10-25,13,False
2017-10-26,13,False
2017-10-27,11,False
2017-10-28,9,False
2017-10-29,10,False
2017-10-30,12,False
2017-10-31,14,False
2017-11-01,17,False
2017-11-02,24,False
2017-11-03,22,False
2017-11-04,17,False
2017-11-05,16,False
2017-11-06,17,False
2017-11-07,17,False
2017-11-08,18,False
2017-11-09,16,False
2017-11-10,20,False
2017-11-11,19,False
2017-11-12,25,False
2017-11-13,21,False
2017-11-14,17,False
2017-11-15,17,False
2017-11-16,17,False
2017-11-17,20,False
2017-11-18,15,False
2017-11-19,15,False
2017-11-20,19,False
2017-11-21,20,False
2017-11-22,17,False
2017-11-23,16,False
2017-11-24,16,False
2017-11-25,17,False
2017-11-26,24,False
2017-11-27,33,False
2017-11-28,39,False
2017-11-29,61,False
2017-11-30,51,False
2017-12-01,38,False
2017-12-02,30,False
2017-12-03,29,False
2017-12-04,34,False
2017-12-05,34,False
2017-12-06,49,False
2017-12-07,97,False
2017-12-08,88,False
2017-12-09,57,False
2017-12-10,55,False
2017-12-11,62,False
2017-12-12,61,False
2017-12-13,54,False
2017-12-14,46,False
2017-12-15,43,False
2017-12-16,44,False
2017-12-17,48,False
2017-12-18,47,False
2017-12-19,51,False
2017-12-20,69,False
2017-12-21,51,False
2017-12-22,100,False
2017-12-23,61,False
2017-12-24,46,False
2017-12-25,41,False
2017-12-26,40,False
2017-12-27,39,False
2017-12-28,38,False
2017-12-29,33,False
2017-12-30,34,False
2017-12-31,46,False
2018-01-01,44,False
2018-01-02,54,False
2018-01-03,54,False
2018-01-04,51,False
2018-01-05,50,False
2018-01-06,47,False
2018-01-07,44,False
2018-01-08,51,False
2018-01-09,49,False
2018-01-10,48,False
2018-01-11,58,False
2018-01-12,46,False
2018-01-13,41,False
2018-01-14,36,False
2018-01-15,37,False
2018-01-16,74,False
2018-01-17,100,False
2018-01-18,70,False
2018-01-19,49,False
2018-01-20,42,False
2018-01-21,38,False
2018-01-22,45,False
2018-01-23,44,False
2018-01-24,40,False
2018-01-25,38,False
2018-01-26,40,False
2018-01-27,32,False
2018-01-28,30,False
2018-01-29,31,False
2018-01-30,36,False
2018-01-31,38,False
2018-02-01,47,False
2018-02-02,65,False
2018-02-03,42,False
2018-02-04,35,False
2018-02-05,65,False
2018-02-06,82,False
2018-02-07,52,False
2018-02-08,42,False
2018-02-09,37,False
2018-02-10,30,False
2018-02-11,28,False
2018-02-12,31,False
2018-02-13,27,False
2018-02-14,29,False
2018-02-15,30,False
2018-02-16,28,False
2018-02-17,26,False
2018-02-18,27,False
2018-02-19,25,False
2018-02-20,29,False
2018-02-21,28,False
2018-02-22,26,False
2018-02-23,22,False
2018-02-24,20,False
2018-02-25,19,False
2018-02-26,21,False
2018-02-27,22,False
2018-02-28,20,False
2018-03-01,19,False
2018-03-02,20,False
2018-03-03,18,False
2018-03-04,16,False
2018-03-05,19,False
2018-03-06,19,False
2018-03-07,21,False
2018-03-08,21,False
2018-03-09,24,False
2018-03-10,17,False
2018-03-11,17,False
2018-03-12,19,False
2018-03-13,18,False
2018-03-14,21,False
2018-03-15,24,False
2018-03-16,20,False
2018-03-17,17,False
2018-03-18,21,False
2018-03-19,21,False
2018-03-20,19,False
2018-03-21,19,False
2018-03-22,18,False
2018-03-23,17,False
2018-03-24,13,False
2018-03-25,13,False
2018-03-26,20,False
2018-03-27,18,False
2018-03-28,16,False
2018-03-29,20,False
2018-03-30,23,False
2018-03-31,15,False
2018-04-01,94,False
2018-04-02,100,False
2018-04-03,93,False
2018-04-04,89,False
2018-04-05,95,False
2018-04-06,100,False
2018-04-07,71,False
2018-04-08,63,False
2018-04-09,87,False
2018-04-10,83,False
2018-04-11,78,False
2018-04-12,95,False
2018-04-13,100,False
2018-04-14,66,False
2018-04-15,62,False
2018-04-16,77,False
2018-04-17,76,False
2018-04-18,75,False
2018-04-19,76,False
2018-04-20,78,False
2018-04-21,67,False
2018-04-22,63,False
2018-04-23,80,False
2018-04-24,95,False
2018-04-25,87,False
2018-04-26,73,False
2018-04-27,65,False
2018-04-28,53,False
2018-04-29,54,False
2018-04-30,62,False
2018-05-01,59,False
2018-05-02,58,False
2018-05-03,71,False
2018-05-04,65,False
2018-05-05,60,False
2018-05-06,55,False
2018-05-07,66,False
2018-05-08,64,False
